query,label,answer
http://storage.mds.yandex.net:80/get-mimcache/55365/451c58517e25fbbccb0f428594b161d8,0,0
http://storage.mds.yandex.net:80/get-mimcache/4415259/fdc42919f262c67d8eaf2a85b3d07e5a,0,0
http://storage.mds.yandex.net:80/get-mimcache/4395389/62c6582ecc857c3e208f70568fbcf286,0,0
http://storage.mds.yandex.net:80/get-mimcache/4479255/ac8a0cc44d87b3a153c2bca14ed79621,0,1
http://storage.mds.yandex.net:80/get-mimcache/4479255/efe9ba6b892a33f3c295da5ff1fc352e,0,0
http://storage.mds.yandex.net:80/get-mimcache/4479255/2dcb7a32b2f3cb2c2bbac8e8e3665668,0,0
http://storage.mds.yandex.net:80/get-mimcache/4479255/f9fa9e8727c24ad2ef180ceb450c0f60,0,0
http://storage.mds.yandex.net:80/get-mimcache/4362642/e2d255fb1f68f9e1b65877e2ca5708d0,0,0
http://storage.mds.yandex.net:80/get-mimcache/4479255/2fb36423985b4b30553305f0b4626c75,0,0
http://storage.mds.yandex.net:80/get-mimcache/3684501/1b44f3cd2709d52c9848baf6ff1d929e,0,0
http://storage.mds.yandex.net:80/get-mimcache/4479255/b6122894547c2f70f85815ab118c0b1f,0,0
http://storage.mds.yandex.net:80/get-mimcache/4080692/52c25a5083c9edafec73052d393935ca,0,1
http://storage.mds.yandex.net:80/get-mimcache/3700060/05c1165c82841110b43dff85f355b3ad,0,1
http://storage.mds.yandex.net:80/get-mimcache/3727613/f76b7a31657fc392f3fa0b117094bcf4,0,0
http://storage.mds.yandex.net:80/get-mimcache/3736508/a719ac7cab8d6d987679a8104161f82f,0,0
http://storage.mds.yandex.net:80/get-mimcache/42313/8d2bbc3f32f8c105c5e5076a3d6902d1,0,0
http://storage.mds.yandex.net:80/get-mimcache/40938/45e67382578ee853916e6f0a25765559,0,0
http://storage.mds.yandex.net:80/get-mimcache/3738002/530157494449af5fcc0d3e8ef34c5b81,0,1
http://storage.mds.yandex.net:80/get-mimcache/4477709/68265efb37836d3e928ad0db4869e66e,0,0
http://storage.mds.yandex.net:80/get-mimcache/4362642/fce0761a350d6bd2474fae0f1a0e3337,0,0
http://storage.mds.yandex.net:80/get-mimcache/4362642/dd1515f4866f9249cea8db1d5ffe3df1,0,0
http://storage.mds.yandex.net:80/get-mimcache/136957/eee0e4fe1d130741b29a9385286e7a28,0,1
http://storage.mds.yandex.net:80/get-mimcache/113965/8ca546507494967031c9a36e64dbc4e9,0,1
http://storage.mds.yandex.net:80/get-mimcache/4479255/f7e5c6157e8ad07f8d2a7d921346194f,0,0
http://storage.mds.yandex.net:80/get-mimcache/4383294/cb47aa6c98fef119eba416511e3e49e4,0,0
http://storage.mds.yandex.net:80/get-mimcache/4479255/bf9ba0976245d6a40921caf095d4186d,0,0
http://storage.mds.yandex.net:80/get-mimcache/42313/73589b3ee37f46160c17c125b142622c,0,0
http://storage.mds.yandex.net:80/get-mimcache/4415259/8c30ad30c5368f4177b1c5e351420c3c,0,0
